"Word","Token","Frequency"
"0","48","95"
"00","1536","38"
"000","47664","141"
"00001","45806641","2"
"00015","45806676","1"
"001","47665","1"
"003830","1420103042","1"
"007","47671","8"
"0080","1477880","2"
"0083","1477883","1"
"00am","1479212","2"
"00pm","1479677","2"
"00s","47731","3"
"01","1537","12"
"01pm","1480638","1"
"02","1538","7"
"03","1539","2"
"04","1540","4"
"05","1541","4"
"06","1542","6"
"07","1543","5"
"08","1544","5"
"08th","1487484","1"
"09","1545","4"
"0ne","49639","1"
"0r","1602","1"
"0s","1603","1"
"1","49","870"
"10","1567","1744"
"100","48625","184"
"1000","1507423","18"
"1000000","1958013297","1"
"1000s","46730228","1"
"100b","1507473","1"
"100k","1507482","1"
"100m","1507484","1"
"100th","46732325","3"
"100x","1507495","1"
"100yards","637812008","1"
"101","48626","16"
"101st","46733267","1"
"102","48627","6"
"104","48629","2"
"105","48630","5"
"106","48631","4"
"107","48632","1"
"108","48633","1"
"10lines","2015183936","1"
"10mil","46790609","1"
"10min","46790611","1"
"10minutes","449496544","1"
"10p","48689","1"
"10pm","1509468","2"
"10s","48692","3"
"10th","1509587","7"
"10x","48697","2"
"10yr","1509752","1"
"11","1568","148"
"110","48656","8"
"111","48657","2"
"112","48658","1"
"1138","1508485","1"
"1146","1508514","1"
"116","48662","2"
"117","48663","1"
"11m","48717","1"
"11th","1510548","16"
"12","1569","133"
"120","48687","8"
"1200f","46789797","1"
"1201","1509346","1"
"1202","1509347","1"
"123","48690","2"
"12383499143743701","-751536245","1"
"125","48692","1"
"125m","1509561","1"
"127","48694","1"
"12a","48736","1"
"12hr","1511147","1"
"12m","48748","2"
"12mm","1511297","1"
"12th","1511509","4"
"13","1570","116"
"1300","1510306","1"
"131","48719","2"
"132","48720","2"
"134","48722","1"
"135","48723","3"
"135m","1510522","1"
"136","48724","1"
"138","48726","3"
"13k","48777","1"
"13th","1512470","23"
"14","1571","95"
"140","48749","6"
"1408","1511275","2"
"145","48754","1"
"1454","1511426","1"
"146","48755","3"
"149","48758","1"
"14a","48798","1"
"14s","48816","1"
"14th","1513431","10"
"14yr","1513596","1"
"15","1572","202"
"150","48780","15"
"1500","1512228","1"
"1500s","46879183","1"
"150k","1512287","1"
"150m","1512289","1"
"151","48781","1"
"1547","1512359","1"
"156","48786","1"
"1561","1512415","1"
"157","48787","2"
"15minutes","573613627","1"
"15s","48847","1"
"15th","1514392","1"
"16","1573","55"
"160","48811","4"
"1600","1513189","4"
"1627","1513258","1"
"168","48819","3"
"169","48820","2"
"1692","1513470","1"
"16mm","1515141","8"
"16s","48878","3"
"16th","1515353","2"
"16x9","1515430","1"
"17","1574","86"
"170","48842","1"
"1700","1514150","1"
"177","48849","1"
"1798","1514437","1"
"17th","1516314","7"
"18","1575","72"
"180","48873","10"
"1800","1515111","7"
"1800mph","-2107860130","1"
"1800s","46968556","6"
"1801","1515112","1"
"1805","1515116","1"
"1814","1515146","1"
"1820","1515173","2"
"1824","1515177","2"
"183","48876","2"
"1830","1515204","1"
"1836","1515210","2"
"1837","1515211","1"
"1838","1515212","1"
"1839","1515213","2"
"1840","1515235","7"
"1840s","46972400","2"
"1844","1515239","1"
"1846","1515241","3"
"1847","1515242","2"
"185","48878","2"
"1850","1515266","2"
"1850ies","-2103246699","1"
"1850s","46973361","3"
"1853","1515269","2"
"1854","1515270","1"
"1855","1515271","2"
"1859","1515275","4"
"1860","1515297","4"
"1861","1515298","1"
"1862","1515299","1"
"1864","1515301","1"
"1870s","46975283","1"
"1873","1515331","3"
"1874","1515332","1"
"1875","1515333","1"
"1876","1515334","1"
"188","48881","1"
"1880","1515359","2"
"1880s","46976244","2"
"1886","1515365","1"
"1888","1515367","1"
"1889","1515368","1"
"1890","1515390","6"
"1890s","46977205","3"
"1893","1515393","1"
"1894","1515394","5"
"1895","1515395","7"
"1896","1515396","4"
"1898","1515398","2"
"1899","1515399","1"
"18a","48922","2"
"18th","1517275","16"
"19","1576","35"
"1900","1516072","6"
"1900s","46998347","2"
"1901","1516073","1"
"1902","1516074","2"
"1906","1516078","1"
"1907","1516079","2"
"1909","1516081","3"
"1910","1516103","4"
"1911","1516104","2"
"1912","1516105","6"
"1913","1516106","2"
"1914","1516107","7"
"1915","1516108","9"
"1916","1516109","6"
"1917","1516110","2"
"1918","1516111","6"
"1919","1516112","3"
"192","48906","1"
"1920","1516134","18"
"1920s","47000269","16"
"1921","1516135","4"
"1922","1516136","17"
"1924","1516138","7"
"1925","1516139","2"
"1926","1516140","5"
"1927","1516141","7"
"1928","1516142","12"
"1929","1516143","5"
"1930","1516165","50"
"1930s","47001230","54"
"1931","1516166","21"
"1932","1516167","22"
"1933","1516168","25"
"1934","1516169","16"
"1935","1516170","11"
"1936","1516171","34"
"1937","1516172","14"
"1938","1516173","18"
"1939","1516174","27"
"1940","1516196","39"
"1940s","47002191","21"
"1941","1516197","21"
"1942","1516198","21"
"1943","1516199","18"
"1944","1516200","31"
"1945","1516201","30"
"1946","1516202","18"
"1947","1516203","8"
"1948","1516204","25"
"1949","1516205","20"
"1949er","1457076250","1"
"195","48909","1"
"1950","1516227","75"
"1950s","47003152","70"
"1951","1516228","25"
"1952","1516229","15"
"1953","1516230","28"
"1954","1516231","12"
"1955","1516232","25"
"1956","1516233","11"
"1957","1516234","20"
"1958","1516235","19"
"1959","1516236","30"
"1960","1516258","38"
"1960s","47004113","41"
"1961","1516259","8"
"1961s","47004144","1"
"1962","1516260","15"
"1963","1516261","22"
"1964","1516262","16"
"1965","1516263","14"
"1966","1516264","9"
"1967","1516265","25"
"1968","1516266","43"
"1969","1516267","32"
"197","48911","1"
"1970","1516289","66"
"1970ies","-2072770506","1"
"1970s","47005074","51"
"1971","1516290","28"
"1972","1516291","35"
"1973","1516292","27"
"1974","1516293","16"
"1975","1516294","21"
"1976","1516295","22"
"1977","1516296","23"
"1978","1516297","37"
"1979","1516298","33"
"1980","1516320","61"
"1980s","47006035","51"
"1981","1516321","32"
"1982","1516322","23"
"1982s","47006097","1"
"1983","1516323","32"
"1984","1516324","39"
"1984ish","-2071727398","2"
"1985","1516325","19"
"1986","1516326","28"
"1987","1516327","27"
"1988","1516328","35"
"1989","1516329","33"
"1990","1516351","51"
"1990s","47006996","21"
"1991","1516352","36"
"1992","1516353","21"
"1993","1516354","22"
"1994","1516355","30"
"1995","1516356","33"
"1996","1516357","51"
"1997","1516358","37"
"1998","1516359","23"
"1999","1516360","53"
"19th","1518236","23"
"1am","50205","1"
"1and","1556486","1"
"1d","1619","2"
"1h","1623","3"
"1hour","48461205","2"
"1hr","50427","2"
"1min","1567873","1"
"1mln","1567966","1"
"1s","1634","2"
"1st","50770","54"
"2","50","1189"
"20","1598","280"
"200","49586","19"
"2000","1537214","66"
"20000","47653682","1"
"2000s","47653749","4"
"2001","1537215","64"
"2002","1537216","51"
"2003","1537217","46"
"2004","1537218","44"
"2005","1537219","53"
"2006","1537220","65"
"2007","1537221","42"
"2008","1537222","45"
"2009","1537223","18"
"200ft","47655424","1"
"201","49587","1"
"2010","1537245","5"
"2012","1537247","1"
"2013","1537248","1"
"2015","1537250","1"
"2019","1537254","2"
"2022","1537278","5"
"2030","1537307","1"
"2033","1537310","1"
"2036","1537313","3"
"204","49590","1"
"2040","1537338","1"
"2050","1537369","2"
"2054","1537373","3"
"206","49592","1"
"2060","1537400","1"
"20k","49645","1"
